node_id,a_i,l_i,a_h
501617,0.5253,0.811,0.5253
501618,0.40022,0.772,0.40022
501619,16.2846,0.095,0.025013
501620,23.9665,0.162,0.037519
501621,24.1416,0.162,0.037519
501622,25.7299,1.352,1.0505
501623,26.9428,0.257,0.13756
501624,27.543,0.162,0.20008
501625,28.3933,0.971,0.68774
501626,0.1876,0.456,0.1876
501627,0.31267,0.448,0.31267
501796,1.0255,0.353,0.28765
501797,1.5383,0.976,0.36272
501798,0.17509,0.487,0.17509
501799,0.25014,0.456,0.25014
501800,0.48776,1.125,0.48776
501801,1.7259,0.257,0.075042
501802,0.68788,1.326,0.68788
501803,1.2382,1.838,1.2382
501804,1.5633,1.074,0.60033
501805,0.2001,0.839,0.2001
501806,0.60034,1.007,0.60034
501807,1.7384,1.534,1.3257
501808,0.30016,0.476,0.30016
501809,0.52527,0.649,0.075042
501810,1.0381,0.19,0.10006
501811,0.30016,0.811,0.30016
501945,0.15008,0.42,0.15008
501946,0.17509,0.515,0.17509
501947,3.7648,0.487,0.21261
501948,5.153,0.912,0.57524
501949,0.81292,0.425,0.81292
501950,0.41271,1.03,0.41271
501951,90.5768,0.649,0.50024
501952,92.8527,0.162,0.012501
501953,93.3154,0.487,0.15008
501954,161.441,1.169,0.70055
501969,1.2256,1.954,1.2256
501970,0.25013,0.543,0.25013
501971,0.22511,0.487,0.22511
502118,1.5256,0.162,0.062531
502119,0.17509,0.456,0.17509
502120,0.26263,0.582,0.26263
502121,0.2001,0.582,0.2001
502122,0.91292,1.629,0.91292
502123,1.6259,0.543,0.21261
502124,2.0382,0.162,0.062532
502125,3.1013,1.112,0.88799
502126,3.8392,0.556,0.58788
502127,4.2145,0.162,0.025018
502128,0.60031,1.03,0.60031
502284,0.43773,0.095,0.012506
502285,0.32515,0.649,0.32515
502286,1.3757,1.393,0.12507
502287,0.57525,1.043,0.57525
502288,0.4002,0.839,0.4002
502289,0.66285,1.367,0.66285
502290,0.32516,0.906,0.32516
502291,0.18759,0.487,0.18759
502292,0.37518,0.618,0.37518
502293,0.38769,0.873,0.38769
502294,0.2126,0.456,0.2126
502295,0.35016,0.705,0.35016
502296,0.27512,0.646,0.27512
502297,0.15007,0.456,0.15007
502298,1.0005,0.772,0.33766
502299,1.9509,0.78,0.30017
502300,3.5644,0.571,0.40025
502301,3.9896,0.257,0.12508
502302,5.753,0.713,0.5128
502303,5.9781,0.294,0.062543
502304,0.45021,0.705,0.45021
502442,0.28763,0.61,0.28763
502443,0.4502,0.638,0.4502
502444,0.47522,0.649,0.47522
502445,0.67529,1.035,0.67529
502446,0.37515,1.331,0.37515
502447,0.53772,0.456,0.53772
502448,0.73784,1.573,0.73784
502449,1.0506,1.792,1.0506
502450,47.014,0.131,0.075034
502451,50.2532,0.744,0.50025
502452,51.6665,1.514,1.0381
502453,53.6051,0.556,0.37525
502701,0.62523,0.131,0.062526
502702,0.35015,0.42,0.35015
502703,1.0505,1.231,0.56275
502704,1.5507,0.095,0.012506
502705,2.2511,0.095,0.025011
502706,0.52524,0.881,0.52524
502707,0.25011,0.484,0.25011
502708,0.2126,0.556,0.2126
502709,0.71284,0.734,0.71284
502710,0.66281,0.582,0.11255
502711,1.013,1.692,1.013
502712,1.0754,0.353,0.11255
502713,0.28763,0.394,0.28763
502714,0.17508,0.582,0.17508
502715,0.15006,0.42,0.15006
502716,0.55026,1.354,0.55026
502882,1.1505,1.352,1.1505
502883,0.31263,0.904,0.31263
502884,0.77534,0.677,0.77534
502885,0.6378,1.622,0.6378
502886,0.28763,0.448,0.28763
502887,0.36266,1.012,0.36266
502888,0.58774,0.904,0.58774
502889,0.4627,0.582,0.4627
502890,1.0629,0.257,0.087539
502891,1.9758,0.19,0.17508
502892,3.5012,0.487,0.23761
502893,6.1024,3.139,2.4386
502894,0.18758,0.389,0.18758
502895,0.18758,0.425,0.18758
502896,0.33764,0.906,0.33764
502897,0.35016,0.788,0.35016
502898,0.13756,0.551,0.13756
502899,0.32513,0.61,0.32513
502900,0.27511,0.705,0.27511
502901,0.27511,0.705,0.27511
503046,1.5381,1.03,0.65029
503047,1.8508,0.19,0.13756
503048,3.3763,1.03,0.55026
503049,1.0003,0.263,0.062525
503050,1.5381,0.649,0.18759
503051,1.1255,1.326,1.1255
503052,0.18758,0.618,0.18758
503053,0.16256,0.394,0.16256
503054,1.2505,0.935,0.53773
503055,2.6012,0.448,0.23762
503056,3.9142,1.715,1.1254
503057,1.013,1.295,1.013
503058,0.36265,0.713,0.36265
503059,0.53772,1.038,0.53772
503060,1.2506,1.694,1.2506
503061,0.65026,0.981,0.65026
503266,0.40016,1.553,0.40016
503267,0.27511,0.515,0.27511
503268,0.57524,0.587,0.57524
503269,0.45016,0.935,0.45016
503270,0.31262,0.515,0.31262
503271,1.1381,2.163,1.1381
503272,7.4891,0.42,0.22509
503273,8.302,0.515,0.2501
503274,9.1524,0.257,0.11254
503275,9.4275,0.095,0.037514
503276,9.8152,0.353,0.18758
503277,10.9406,1.03,0.91285
503278,13.7539,1.841,1.1004
503279,14.7793,0.324,0.11255
503280,17.1056,0.868,0.48772
503281,0.32512,0.476,0.32512
503282,0.12505,0.487,0.12505
503283,1.0004,0.61,0.20007
503284,2.7134,0.448,0.3001
503285,0.35013,0.772,0.35013
503286,0.25009,0.705,0.25009
503450,0.21258,0.587,0.21258
503451,0.26259,0.749,0.26259
503452,0.46266,0.389,0.46266
503453,0.60019,1.686,0.60019
503454,0.5127,0.582,0.5127
503455,0.32512,0.515,0.32512
503456,1.2505,0.162,0.025009
503457,2.5509,0.868,0.61272
503458,10.8258,0.749,0.7628
503459,0.16256,0.744,0.16256
503460,0.95035,1.732,0.95035
503461,0.92535,1.125,0.92535
503462,0.8753,1.516,0.8753
503463,0.57521,1.64,0.57521
503464,0.36263,0.839,0.36263
503465,0.35014,0.881,0.35014
503466,0.23758,0.543,0.23758
503467,0.65022,0.772,0.65022
503468,0.21258,0.942,0.21258
503559,0.35013,1.097,0.35013
503560,0.26259,0.487,0.26259
503561,0.97532,1.264,0.97532
503562,0.12504,0.389,0.12504
503563,3.3007,0.162,0.10003
503564,4.6636,0.85,0.41267
503565,5.8892,0.971,0.45024
503566,1.463,1.39,0.61267
503567,13.3045,0.448,0.28759
503568,14.7801,1.287,1.2505
503569,17.5561,0.749,0.63784
503570,18.1814,0.294,0.26265
503571,19.2446,0.257,0.10006
503572,20.0577,0.705,0.42526
503573,22.1713,0.868,0.70039
503574,22.8968,0.19,0.27519
503575,23.297,0.257,0.1501
503576,26.4122,0.257,0.16261
503577,26.9251,0.162,0.025017
503578,27.8882,0.257,0.30022
503579,29.7644,1.764,1.1883
503580,30.0771,0.162,0.062544
503581,30.5649,0.353,0.26266
503582,32.0157,0.42,0.062541
503583,32.4409,0.162,0.025019
503584,32.7411,0.191,0.037525
503585,59.8696,1.45,0.63796
503586,61.4456,1.002,0.95056
503587,64.035,1.192,0.6879
503588,64.7855,0.487,0.35022
503589,65.5361,0.487,0.30019
503590,67.4252,0.191,0.025024
503591,0.46266,1.058,0.46266
503592,0.15005,0.456,0.15005
503593,0.15005,0.543,0.15005
503594,0.27511,1.46,0.27511
503595,0.38762,0.162,0.037512
503596,1.2504,0.875,0.2501
503597,1.438,0.162,0.025011
503598,2.2634,0.942,0.1876
503599,0.20007,0.515,0.20007
503600,0.8503,0.42,0.12504
503601,0.46265,0.875,0.46265
503602,0.5002,1.287,0.5002
503603,0.35013,0.772,0.35013
503604,2.5758,0.991,0.88782
503605,4.1012,1.287,0.86278
503606,1.3629,1.372,1.3629
503821,0.18756,0.448,0.18756
503822,0.88779,1.905,0.88779
503823,0.50015,1.097,0.50015
503824,0.30009,0.677,0.30009
503825,0.26259,0.587,0.26259
503826,1.0379,1.315,1.0379
503827,3.1633,0.324,0.062521
503828,0.96281,0.801,0.51267
503829,1.4005,0.19,0.10003
503830,0.78776,1.478,0.78776
503831,0.33761,0.829,0.33761
503832,0.22508,0.456,0.22508
503833,0.40014,1.233,0.40014
503834,0.16255,0.456,0.16255
503835,0.40012,0.934,0.40012
503836,3.9011,0.749,0.42513
503837,5.0391,1.097,0.86285
503838,6.74,0.19,0.075037
503839,7.6154,1.03,0.52526
504294,1.1504,1.879,1.1504
504295,0.85026,2.423,0.85026
504296,0.32509,0.587,0.32509
504427,2.2882,1.007,0.50017
504428,3.9264,1.002,0.6253
504429,4.5017,0.515,0.36269
504430,1.8881,1.287,0.60015
504431,3.0885,0.448,0.27507
504432,4.3514,1.763,1.0378
504433,0.31258,0.487,0.31258
504434,0.58767,1.449,0.58767
504435,0.20006,0.688,0.20006
504436,0.23758,0.749,0.23758
504437,0.18756,0.52,0.18756
504438,0.56266,1.516,0.56266
504566,1.1753,1.058,0.43764
504567,2.2883,1.153,0.52517
504568,3.4387,0.381,0.13754
504569,3.7263,0.515,0.16255
504570,4.1139,0.19,0.23759
504571,4.6516,0.487,0.35013
504572,0.70022,1.066,0.70022
504573,0.15004,0.551,0.15004
504574,0.21256,0.677,0.21256
504575,0.31258,0.749,0.31258
504576,0.38762,0.85,0.38762
504577,0.22506,0.42,0.22506
504578,7.1649,2.52,1.5753
504579,6.8997,0.618,0.16255
504580,0.45013,0.839,0.45013
504581,74.0964,0.543,0.25009
504582,76.0468,0.772,0.75023
504583,76.8846,0.78,0.38765
504584,77.3348,0.456,0.12505
504585,80.1864,0.705,0.36267
504586,84.3015,1.058,1.0755
504587,84.9142,0.353,0.21258
504588,85.6395,0.762,0.60025
504589,88.6528,0.095,0.050021
504590,89.2656,0.456,0.25011
504591,90.2786,1.174,0.73789
504592,96.0953,1.612,1.5637
504594,100.073,0.286,0.21269
504604,0.78774,1.315,0.78774
504749,0.25006,0.42,0.25006
504750,0.90026,0.896,0.47513
504751,1.2004,0.324,0.11254
504752,0.16254,0.286,0.16254
504753,1.0002,1.964,1.0002
504754,0.47514,1.012,0.47514
504755,0.26257,0.487,0.26257
504756,0.16254,0.425,0.16254
504757,0.21256,0.942,0.21256
504758,1.7129,0.618,0.25007
504759,0.57516,1.264,0.57516
504760,1.3878,0.934,0.80021
504761,2.1255,0.487,0.13755
504762,2.9633,0.324,0.26259
504763,0.76266,0.487,0.16254
504981,0.17504,0.425,0.17504
504982,0.17504,0.456,0.17504
504983,0.21255,0.582,0.21255
504984,0.95027,1.259,0.95027
504985,1.0252,2.165,1.0252
504986,0.28757,0.425,0.28757
504987,1.2753,1.3,0.86274
504988,2.1381,0.456,0.40014
504989,1.0377,1.841,1.0377
504990,0.30007,0.906,0.30007
504991,0.20005,0.42,0.20005
504992,0.45011,1.068,0.45011
504993,0.46262,0.543,0.46262
504994,0.43761,0.85,0.43761
504995,5.001,0.919,0.47514
504996,12.0914,1.488,0.98791
504997,0.38758,1.097,0.38758
504998,0.6627,1.305,0.6627
504999,1.1628,1.058,0.67518
505000,1.6755,0.638,0.32509
