src,dst
529361,528729
528728,528730
528729,528730
528029,528731
528730,528731
526418,528732
528731,528732
528538,528735
529067,528735
528033,528736
528735,528736
528736,528737
528926,528737
396664,397782
397175,397782
397321,397783
397782,397783
397783,397784
398483,397784
397784,397785
398308,397785
397785,397786
398603,397786
397786,397787
400264,397787
399422,397792
398937,397792
265090,266743
265491,266743
268009,266746
268578,266746
266746,266747
266898,266747
266747,266748
266899,266748
265499,266750
265910,266750
266751,266750
266743,266891
267077,266891
266891,266892
268008,266892
266892,266893
268576,266893
266893,266894
268577,266894
266894,266895
269257,266895
266895,266896
267079,266896
528187,529051
529529,529051
529829,529051
529054,529052
529993,529052
528018,529053
529052,529053
529234,529053
399423,397988
398613,397988
397796,397991
398317,397991
398615,397995
397994,397995
397995,397996
399427,397996
396674,397997
397996,397997
396336,398136
398301,398136
398136,398137
398300,398137
396340,398138
397775,398138
397776,398139
398138,398139
398139,398140
399233,398140
397320,398142
397982,398142
398142,398143
399112,398143
398143,398144
397983,398144
398144,398145
399908,398145
398145,398146
398307,398146
267195,267075
267566,267075
266370,267076
267075,267076
532658,529221
534996,529221
529048,529222
529221,529222
395733,398151
398150,398151
527338,529224
529223,529224
266548,267081
266549,267081
398935,398154
399239,398154
526975,529227
529226,529227
526408,529228
529227,529228
524784,529229
529228,529229
524379,529230
529229,529230
525475,529231
529230,529231
397331,398160
397332,398160
529232,529233
522503,529233
397799,398167
398791,398167
267085,267197
267872,267197
267197,267198
268013,267198
266550,267199
266750,267199
267199,267200
267567,267200
534073,529362
530322,529362
529362,529363
529837,529363
