node_id,q,h0,h1,h2,h3,h4
474533,0.001,0.0,0.1,0.0,0.0,0.0
497368,0.001,0.0,0.1,0.0,0.0,0.0
493635,0.001,0.0,0.1,0.0,0.0,0.0
484049,0.001,0.0,0.1,0.0,0.0,0.0
495599,0.001,0.0,0.1,0.0,0.0,0.0
464298,0.001,0.0,0.1,0.0,0.0,0.0
474258,0.001,0.0,0.1,0.0,0.0,0.0
497374,0.001,0.0,0.1,0.0,0.0,0.0
497373,0.001,0.0,0.1,0.0,0.0,0.0
474259,0.001,0.0,0.1,0.0,0.0,0.0
475632,0.001,0.0,0.1,0.0,0.0,0.0
488539,0.001,0.0,0.1,0.0,0.0,0.0
491545,0.001,0.0,0.1,0.0,0.0,0.0
490166,0.001,0.0,0.1,0.0,0.0,0.0
491782,0.001,0.0,0.1,0.0,0.0,0.0
472839,0.001,0.0,0.1,0.0,0.0,0.0
471354,0.001,0.0,0.1,0.0,0.0,0.0
467136,0.001,0.0,0.1,0.0,0.0,0.0
495221,0.001,0.0,0.1,0.0,0.0,0.0
491780,0.001,0.0,0.1,0.0,0.0,0.0
470015,0.001,0.0,0.1,0.0,0.0,0.0
475631,0.001,0.0,0.1,0.0,0.0,0.0
470913,0.001,0.0,0.1,0.0,0.0,0.0
479497,0.001,0.0,0.1,0.0,0.0,0.0
474532,0.001,0.0,0.1,0.0,0.0,0.0
494808,0.001,0.0,0.1,0.0,0.0,0.0
494809,0.001,0.0,0.1,0.0,0.0,0.0
494810,0.001,0.0,0.1,0.0,0.0,0.0
471360,0.001,0.0,0.1,0.0,0.0,0.0
478881,0.001,0.0,0.1,0.0,0.0,0.0
466136,0.001,0.0,0.1,0.0,0.0,0.0
494812,0.001,0.0,0.1,0.0,0.0,0.0
480275,0.001,0.0,0.1,0.0,0.0,0.0
477983,0.001,0.0,0.1,0.0,0.0,0.0
487588,0.001,0.0,0.1,0.0,0.0,0.0
497372,0.001,0.0,0.1,0.0,0.0,0.0
501592,0.001,0.0,0.1,0.0,0.0,0.0
484496,0.001,0.0,0.1,0.0,0.0,0.0
495766,0.001,0.0,0.1,0.0,0.0,0.0
468167,0.001,0.0,0.1,0.0,0.0,0.0
473415,0.001,0.0,0.1,0.0,0.0,0.0
484045,0.001,0.0,0.1,0.0,0.0,0.0
472840,0.001,0.0,0.1,0.0,0.0,0.0
367719,0.001,0.0,0.1,0.0,0.0,0.0
295939,0.001,0.0,0.1,0.0,0.0,0.0
293859,0.001,0.0,0.1,0.0,0.0,0.0
367723,0.001,0.0,0.1,0.0,0.0,0.0
293303,0.001,0.0,0.1,0.0,0.0,0.0
298375,0.001,0.0,0.1,0.0,0.0,0.0
401032,0.001,0.0,0.1,0.0,0.0,0.0
410647,0.001,0.0,0.1,0.0,0.0,0.0
401473,0.001,0.0,0.1,0.0,0.0,0.0
422323,0.001,0.0,0.1,0.0,0.0,0.0
399919,0.001,0.0,0.1,0.0,0.0,0.0
412273,0.001,0.0,0.1,0.0,0.0,0.0
367090,0.001,0.0,0.1,0.0,0.0,0.0
364702,0.001,0.0,0.1,0.0,0.0,0.0
395000,0.001,0.0,0.1,0.0,0.0,0.0
397992,0.001,0.0,0.1,0.0,0.0,0.0
370430,0.001,0.0,0.1,0.0,0.0,0.0
412134,0.001,0.0,0.1,0.0,0.0,0.0
388071,0.001,0.0,0.1,0.0,0.0,0.0
387102,0.001,0.0,0.1,0.0,0.0,0.0
383288,0.001,0.0,0.1,0.0,0.0,0.0
387103,0.001,0.0,0.1,0.0,0.0,0.0
444513,0.001,0.0,0.1,0.0,0.0,0.0
421034,0.001,0.0,0.1,0.0,0.0,0.0
421033,0.001,0.0,0.1,0.0,0.0,0.0
418620,0.001,0.0,0.1,0.0,0.0,0.0
424278,0.001,0.0,0.1,0.0,0.0,0.0
428003,0.001,0.0,0.1,0.0,0.0,0.0
432785,0.001,0.0,0.1,0.0,0.0,0.0
435035,0.001,0.0,0.1,0.0,0.0,0.0
438775,0.001,0.0,0.1,0.0,0.0,0.0
465186,0.001,0.0,0.1,0.0,0.0,0.0
465183,0.001,0.0,0.1,0.0,0.0,0.0
465178,0.001,0.0,0.1,0.0,0.0,0.0
445225,0.001,0.0,0.1,0.0,0.0,0.0
446602,0.001,0.0,0.1,0.0,0.0,0.0
460653,0.001,0.0,0.1,0.0,0.0,0.0
452666,0.001,0.0,0.1,0.0,0.0,0.0
453308,0.001,0.0,0.1,0.0,0.0,0.0
453465,0.001,0.0,0.1,0.0,0.0,0.0
524602,0.001,0.0,0.1,0.0,0.0,0.0
524598,0.001,0.0,0.1,0.0,0.0,0.0
524594,0.001,0.0,0.1,0.0,0.0,0.0
465184,0.001,0.0,0.1,0.0,0.0,0.0
465185,0.001,0.0,0.1,0.0,0.0,0.0
455946,0.001,0.0,0.1,0.0,0.0,0.0
432461,0.001,0.0,0.1,0.0,0.0,0.0
432467,0.001,0.0,0.1,0.0,0.0,0.0
430635,0.001,0.0,0.1,0.0,0.0,0.0
430629,0.001,0.0,0.1,0.0,0.0,0.0
431979,0.001,0.0,0.1,0.0,0.0,0.0
389213,0.001,0.0,0.1,0.0,0.0,0.0
389214,0.001,0.0,0.1,0.0,0.0,0.0
375594,0.001,0.0,0.1,0.0,0.0,0.0
392619,0.001,0.0,0.1,0.0,0.0,0.0
412408,0.001,0.0,0.1,0.0,0.0,0.0
420348,0.001,0.0,0.1,0.0,0.0,0.0
416196,0.001,0.0,0.1,0.0,0.0,0.0
522875,0.001,0.0,0.1,0.0,0.0,0.0
426822,0.001,0.0,0.1,0.0,0.0,0.0
416187,0.001,0.0,0.1,0.0,0.0,0.0
450497,0.001,0.0,0.1,0.0,0.0,0.0
453109,0.001,0.0,0.1,0.0,0.0,0.0
429171,0.001,0.0,0.1,0.0,0.0,0.0
441572,0.001,0.0,0.1,0.0,0.0,0.0
418171,0.001,0.0,0.1,0.0,0.0,0.0
444133,0.001,0.0,0.1,0.0,0.0,0.0
522832,0.001,0.0,0.1,0.0,0.0,0.0
449216,0.001,0.0,0.1,0.0,0.0,0.0
428154,0.001,0.0,0.1,0.0,0.0,0.0
417373,0.001,0.0,0.1,0.0,0.0,0.0
454114,0.001,0.0,0.1,0.0,0.0,0.0
423284,0.001,0.0,0.1,0.0,0.0,0.0
522823,0.001,0.0,0.1,0.0,0.0,0.0
522833,0.001,0.0,0.1,0.0,0.0,0.0
453111,0.001,0.0,0.1,0.0,0.0,0.0
524616,0.001,0.0,0.1,0.0,0.0,0.0
423420,0.001,0.0,0.1,0.0,0.0,0.0
522828,0.001,0.0,0.1,0.0,0.0,0.0
522830,0.001,0.0,0.1,0.0,0.0,0.0
444515,0.001,0.0,0.1,0.0,0.0,0.0
522831,0.001,0.0,0.1,0.0,0.0,0.0
522824,0.001,0.0,0.1,0.0,0.0,0.0
451476,0.001,0.0,0.1,0.0,0.0,0.0
455754,0.001,0.0,0.1,0.0,0.0,0.0
457465,0.001,0.0,0.1,0.0,0.0,0.0
462694,0.001,0.0,0.1,0.0,0.0,0.0
455458,0.001,0.0,0.1,0.0,0.0,0.0
457605,0.001,0.0,0.1,0.0,0.0,0.0
457602,0.001,0.0,0.1,0.0,0.0,0.0
270455,0.001,0.0,0.1,0.0,0.0,0.0
267568,0.001,0.0,0.1,0.0,0.0,0.0
266074,0.001,0.0,0.1,0.0,0.0,0.0
310374,0.001,0.0,0.1,0.0,0.0,0.0
292665,0.001,0.0,0.1,0.0,0.0,0.0
269279,0.001,0.0,0.1,0.0,0.0,0.0
307080,0.001,0.0,0.1,0.0,0.0,0.0
307083,0.001,0.0,0.1,0.0,0.0,0.0
459447,0.001,0.0,0.1,0.0,0.0,0.0
475505,0.001,0.0,0.1,0.0,0.0,0.0
480925,0.001,0.0,0.1,0.0,0.0,0.0
475845,0.001,0.0,0.1,0.0,0.0,0.0
483846,0.001,0.0,0.1,0.0,0.0,0.0
465825,0.001,0.0,0.1,0.0,0.0,0.0
522772,0.001,0.0,0.1,0.0,0.0,0.0
473797,0.001,0.0,0.1,0.0,0.0,0.0
522791,0.001,0.0,0.1,0.0,0.0,0.0
475007,0.001,0.0,0.1,0.0,0.0,0.0
472525,0.001,0.0,0.1,0.0,0.0,0.0
475348,0.001,0.0,0.1,0.0,0.0,0.0
522741,0.001,0.0,0.1,0.0,0.0,0.0
486022,0.001,0.0,0.1,0.0,0.0,0.0
522787,0.001,0.0,0.1,0.0,0.0,0.0
465828,0.001,0.0,0.1,0.0,0.0,0.0
473434,0.001,0.0,0.1,0.0,0.0,0.0
522784,0.001,0.0,0.1,0.0,0.0,0.0
522742,0.001,0.0,0.1,0.0,0.0,0.0
522798,0.001,0.0,0.1,0.0,0.0,0.0
522783,0.001,0.0,0.1,0.0,0.0,0.0
522776,0.001,0.0,0.1,0.0,0.0,0.0
480615,0.001,0.0,0.1,0.0,0.0,0.0
460352,0.001,0.0,0.1,0.0,0.0,0.0
522804,0.001,0.0,0.1,0.0,0.0,0.0
485466,0.001,0.0,0.1,0.0,0.0,0.0
522806,0.001,0.0,0.1,0.0,0.0,0.0
477765,0.001,0.0,0.1,0.0,0.0,0.0
499940,0.001,0.0,0.1,0.0,0.0,0.0
499941,0.001,0.0,0.1,0.0,0.0,0.0
499942,0.001,0.0,0.1,0.0,0.0,0.0
500087,0.001,0.0,0.1,0.0,0.0,0.0
500088,0.001,0.0,0.1,0.0,0.0,0.0
500089,0.001,0.0,0.1,0.0,0.0,0.0
500090,0.001,0.0,0.1,0.0,0.0,0.0
500091,0.001,0.0,0.1,0.0,0.0,0.0
500092,0.001,0.0,0.1,0.0,0.0,0.0
500093,0.001,0.0,0.1,0.0,0.0,0.0
500098,0.001,0.0,0.1,0.0,0.0,0.0
500099,0.001,0.0,0.1,0.0,0.0,0.0
500100,0.001,0.0,0.1,0.0,0.0,0.0
500101,0.001,0.0,0.1,0.0,0.0,0.0
500102,0.001,0.0,0.1,0.0,0.0,0.0
500103,0.001,0.0,0.1,0.0,0.0,0.0
500104,0.001,0.0,0.1,0.0,0.0,0.0
500105,0.001,0.0,0.1,0.0,0.0,0.0
500106,0.001,0.0,0.1,0.0,0.0,0.0
